OP("/NM0" "vgs") X,OP("/NM0" "vgs") Y
0,0
0.01010101,0.0101010101010101
0.02020202,0.0202020202020202
0.03030303,0.0303030303030303
0.04040404,0.0404040404040404
0.05050505,0.0505050505050505
0.06060606,0.0606060606060606
0.07070707,0.0707070707070707
0.08080808,0.0808080808080808
0.09090909,0.0909090909090909
0.1010101,0.101010101010101
0.1111111,0.111111111111111
0.1212121,0.121212121212121
0.1313131,0.131313131313131
0.1414141,0.141414141414141
0.1515152,0.151515151515151
0.1616162,0.161616161616162
0.1717172,0.171717171717172
0.1818182,0.181818181818182
0.1919192,0.191919191919192
0.2020202,0.202020202020202
0.2121212,0.212121212121212
0.2222222,0.222222222222222
0.2323232,0.232323232323232
0.2424242,0.242424242424242
0.2525253,0.252525252525253
0.2626263,0.262626262626263
0.2727273,0.272727272727273
0.2828283,0.282828282828283
0.2929293,0.292929292929293
0.3030303,0.303030303030303
0.3131313,0.313131313131313
0.3232323,0.323232323232323
0.3333333,0.333333333333333
0.3434343,0.343434343434344
0.3535354,0.353535353535354
0.3636364,0.363636363636364
0.3737374,0.373737373737374
0.3838384,0.383838383838384
0.3939394,0.393939393939394
0.4040404,0.404040404040404
0.4141414,0.414141414141414
0.4242424,0.424242424242424
0.4343434,0.434343434343435
0.4444444,0.444444444444445
0.4545455,0.454545454545455
0.4646465,0.464646464646465
0.4747475,0.474747474747475
0.4848485,0.484848484848485
0.4949495,0.494949494949495
0.5050505,0.505050505050505
0.5151515,0.515151515151515
0.5252525,0.525252525252525
0.5353535,0.535353535353535
0.5454545,0.545454545454546
0.5555556,0.555555555555556
0.5656566,0.565656565656566
0.5757576,0.575757575757576
0.5858586,0.585858585858586
0.5959596,0.595959595959596
0.6060605999999999,0.606060606060606
0.6161616,0.616161616161616
0.6262626,0.626262626262626
0.6363636,0.636363636363636
0.6464645999999999,0.646464646464646
0.6565657,0.656565656565656
0.6666666999999999,0.666666666666666
0.6767677,0.676767676767676
0.6868687,0.686868686868686
0.6969697,0.696969696969696
0.7070707000000001,0.707070707070706
0.7171717,0.717171717171716
0.7272727,0.727272727272727
0.7373737,0.737373737373737
0.7474747,0.747474747474747
0.7575758,0.757575757575757
0.7676768,0.767676767676767
0.7777778,0.777777777777777
0.7878788,0.787878787878787
0.7979798,0.797979797979797
0.8080808,0.808080808080807
0.8181818,0.818181818181817
0.8282828,0.828282828282827
0.8383838,0.838383838383837
0.8484848,0.848484848484847
0.8585859,0.858585858585857
0.8686869,0.868686868686867
0.8787879,0.878787878787877
0.8888889,0.888888888888887
0.8989899,0.898989898989897
0.9090909,0.909090909090908
0.9191919,0.919191919191918
0.9292929,0.9292929292929279
0.9393939,0.939393939393938
0.9494949,0.9494949494949479
0.959596,0.959595959595958
0.969697,0.9696969696969679
0.9797979999999999,0.979797979797978
0.989899,0.9898989898989879
1,1
